5,1
37,42
3,7
31,57
1,9
25,18
57,39
25,11
65,54
65,28
67,36
11,13
59,25
47,37
50,63
5,16
69,59
13,21
24,11
9,7
49,43
41,43
47,46
61,61
9,10
65,65
40,39
33,58
64,39
25,5
41,39
67,37
57,57
68,61
45,49
59,19
55,33
61,67
67,63
13,9
11,11
19,12
47,38
49,60
21,11
5,26
7,35
51,26
55,43
49,51
63,55
19,23
69,51
7,1
5,5
10,23
43,58
63,18
63,68
4,11
7,32
53,45
15,18
62,27
54,39
7,28
21,25
38,61
1,21
4,1
13,23
16,23
51,53
6,37
69,49
47,57
53,33
23,40
57,48
7,7
19,21
3,13
63,23
3,39
67,33
5,36
36,53
63,43
37,34
22,17
11,41
69,17
5,3
57,19
20,23
9,18
4,31
57,63
2,19
67,18
65,43
66,41
39,13
5,19
27,6
39,55
56,51
59,51
35,54
21,14
63,38
59,49
61,46
69,25
39,44
13,40
42,35
54,51
61,37
11,32
11,29
4,25
64,17
53,40
42,53
53,43
65,44
44,53
45,34
50,55
63,56
39,40
0,33
54,27
35,53
35,40
65,47
5,15
49,59
69,41
67,35
41,38
49,69
47,39
67,59
26,17
67,69
13,27
55,56
69,54
55,65
40,45
59,53
53,50
53,47
35,42
50,33
12,19
5,21
67,65
67,26
58,37
23,6
10,13
57,43
1,15
65,27
15,7
40,41
60,47
10,9
16,19
44,43
63,20
69,19
11,27
52,55
19,20
39,53
65,61
7,12
55,61
10,39
5,22
8,5
7,14
17,13
62,31
61,30
39,29
29,9
68,59
22,13
7,19
42,55
68,29
33,19
7,23
17,17
57,25
61,69
15,11
62,23
21,7
57,28
12,41
12,11
55,45
3,4
49,61
53,61
63,35
65,34
48,31
68,49
50,41
55,25
27,4
52,37
5,13
57,51
57,66
51,43
1,13
25,12
43,40
41,37
62,39
8,23
42,45
11,9
27,19
67,51
10,15
6,21
68,65
68,17
69,63
3,25
61,66
19,11
54,57
8,33
69,22
57,58
13,22
57,60
68,21
58,61
65,37
67,16
43,50
47,32
51,31
23,21
57,23
7,6
69,44
27,27
11,25
11,24
59,43
30,7
55,70
45,61
59,44
15,12
5,29
60,59
53,69
5,31
69,29
34,53
58,69
64,25
48,35
67,66
61,52
54,67
64,21
42,33
23,7
46,49
65,31
70,27
3,33
55,46
19,17
43,49
63,36
9,21
57,40
53,62
61,53
13,35
23,19
3,18
53,59
63,42
11,23
55,26
66,19
9,38
65,45
55,24
59,50
67,21
3,37
16,13
70,65
41,42
62,41
1,29
51,58
1,10
3,6
1,18
55,18
13,30
49,37
45,48
51,35
56,21
35,50
13,4
63,45
43,37
66,37
66,51
53,31
53,57
65,19
61,64
57,45
5,14
51,67
69,68
65,64
45,45
57,52
64,51
7,25
62,37
5,17
69,21
42,37
63,63
58,23
51,33
11,33
4,41
20,9
7,11
21,15
15,17
25,15
63,22
14,13
51,47
67,17
51,36
69,45
61,50
68,51
66,33
47,47
15,39
8,13
49,62
60,55
31,54
47,36
13,36
59,67
59,69
59,17
1,12
56,39
47,40
46,45
61,45
57,37
45,31
8,21
60,53
1,19
63,26
17,10
21,17
19,13
15,34
9,13
21,24
54,63
57,21
9,23
52,59
13,17
37,18
5,40
13,15
54,59
7,16
2,33
66,23
3,11
5,28
68,63
3,31
65,62
27,16
59,33
49,44
48,49
47,58
69,70
20,25
51,38
5,35
19,25
13,29
61,24
12,17
45,55
61,51
69,65
48,45
55,59
39,39
66,47
67,57
49,49
56,57
15,9
52,41
48,41
58,51
47,53
69,35
53,46
51,27
3,22
52,49
11,7
53,51
67,53
3,23
7,2
51,55
64,65
53,37
5,7
57,49
3,28
69,52
49,39
9,27
65,55
59,65
65,48
17,9
18,13
67,47
45,35
43,55
2,35
59,22
55,23
65,67
47,49
13,39
35,34
53,48
9,26
5,23
63,19
55,37
65,50
20,15
65,24
67,38
62,53
61,65
20,21
37,60
61,55
63,65
51,52
63,46
31,39
49,34
70,33
55,27
64,31
2,15
3,32
51,61
62,55
53,53
11,20
63,48
68,31
23,11
9,2
43,60
55,41
64,35
1,3
61,62
13,19
63,39
65,59
59,27
7,27
45,32
1,23
3,20
3,29
8,31
63,53
49,57
10,29
65,58
49,30
53,65
63,60
41,46
17,18
37,30
69,55
41,41
18,15
10,35
58,45
66,21
7,33
26,27
54,37
49,48
7,24
7,8
57,62
67,44
57,61
67,46
66,67
65,63
48,51
1,16
69,53
1,39
45,39
57,54
17,30
37,53
11,39
44,33
5,2
12,33
3,27
1,30
42,57
11,37
15,25
6,25
43,35
63,21
57,41
33,13
59,20
26,15
34,15
56,37
0,13
13,25
67,43
49,19
60,21
42,41
13,7
51,46
53,26
65,41
59,40
45,33
53,55
69,56
43,30
13,11
69,48
44,37
35,56
49,35
69,30
55,39
67,54
29,15
55,51
59,48
47,45
39,49
9,29
15,21
66,63
1,42
49,53
9,15
63,61
11,6
53,64
61,44
9,25
3,5
56,33
65,57
49,50
51,41
27,40
37,50
48,61
3,30
53,63
7,29
54,43
5,9
63,25
11,21
9,37
58,27
0,21
63,17
59,31
8,9
59,70
31,63
57,59
55,44
59,42
4,9
55,68
65,56
13,24
15,37
40,53
63,59
26,13
5,37
53,34
43,33
10,27
12,7
47,31
59,35
1,1
23,25
69,33
69,46
69,58
13,38
57,27
22,5
69,20
59,45
37,56
9,1
22,11
66,69
15,27
44,57
5,41
45,54
3,35
51,49
41,10
24,13
1,17
70,17
56,61
63,62
67,41
69,47
61,59
67,61
57,26
2,23
16,9
59,63
53,17
57,47
5,34
51,56
53,27
51,59
27,9
23,27
62,19
7,5
45,53
63,58
55,22
14,9
57,35
69,27
60,25
55,42
49,45
65,51
17,16
1,7
27,15
48,55
22,21
1,33
8,27
43,52
65,23
17,19
11,17
6,35
55,55
13,34
61,41
50,31
11,35
17,8
61,58
70,61
9,35
1,11
14,27
12,29
44,47
60,39
67,27
25,8
67,49
25,25
67,23
43,47
69,39
55,20
1,8
51,51
22,9
67,19
14,17
9,31
17,11
1,26
43,48
57,55
1,5
61,33
9,19
68,25
47,54
7,17
2,7
51,60
59,23
69,69
17,36
65,60
63,51
8,35
5,39
55,47
51,44
51,42
43,45
68,35
