206273907288897, 404536114337943, 197510451330134 @ -18, 6, 92
318919383845607, 260745469021671, 223155534318195 @ -78, 62, 75
379055259398812, 255495760772511, 396757430832289 @ -179, -18, -373
137846644978100, 12046037245139, 105153704719816 @ 124, 454, 225
309711358603762, 225946158383867, 189873851968750 @ 37, 26, 191
378104097168921, 200689272215862, 254730120537801 @ -124, -97, -71
300292128113052, 256013171490309, 260169046009932 @ 22, -11, -11
340024527023616, 317448015546650, 328533050601313 @ -75, -185, -195
373516765505058, 157626860619009, 235774680430440 @ 99, 13, 49
245196337922282, 292274639441955, 298085285387070 @ -58, 123, -14
335632547916370, 240369301168923, 180258516566734 @ -40, -21, 222
201763426455885, 432984706371098, 288885903773452 @ -6, -35, -6
340837986054322, 166013062734395, 301082235315134 @ 107, 130, -358
354436966734662, 387808533291947, 522182188754498 @ -163, -46, -330
216600846928662, 401834140991676, 280408410244184 @ -33, 15, 6
144009767562332, 384796594102285, 342901896639846 @ 92, -17, -80
292548175874226, 236864571686481, 308205963640536 @ 43, 37, -135
166559413436562, 296263599127311, 262917292096014 @ 51, 101, 20
134219120684945, 88082171237603, 408055481003154 @ 56, 338, -128
289122206566239, 374920085287126, 251330373529882 @ -30, -133, 24
363238977788454, 171200360522985, 252134557853992 @ 129, -69, -145
143936201497688, 489342946911847, 281489414048971 @ 41, -74, 5
199894209684708, 252143546367129, 281987274746514 @ 201, 44, -48
191588897933502, 376136543039121, 221008197289764 @ -7, 41, 67
379604574726762, 167327932837551, 246377431292754 @ -63, -29, -79
387026699449726, 191967569829275, 307720804976114 @ -155, -310, -798
371175295128578, 172894922198787, 346747236404406 @ -79, 81, -665
364599099658488, 383318238458598, 275919637678959 @ -135, -407, -63
301284886590012, 137706304614111, 309471151161914 @ -78, 288, -58
362210746811142, 91347558238516, 236588700154968 @ -33, 587, 46
365698498497366, 266491746739635, 189025658510034 @ -120, -160, 217
139662774764846, 359618522918893, 349230083749496 @ 29, 73, -57
372815676530802, 184783635708171, 248780133496734 @ -49, -87, -61
143053236595734, 267498700983615, 134566155023502 @ 260, 43, 244
308332443459172, 257917473957315, 262002387172074 @ -23, 18, -8
209287714791882, 302070968446839, 223927490140455 @ 147, -34, 75
202544364929398, 424413651474303, 271764995726182 @ -14, -15, 14
314738378383524, 186982311166258, 190766029975050 @ -27, 173, 160
321926651171466, 9079190797619, 110622541649430 @ 24, 731, 475
98780458150415, 94323229134591, 238758293119442 @ 158, 342, 48
78187307764836, 333007346934077, 187544008336092 @ 120, 79, 103
386091545877390, 207458852037519, 275291589769602 @ -177, -122, -192
49622328192458, 374596885330305, 116181504439494 @ 131, 48, 172
370983658451019, 267522172250469, 254533042570698 @ -182, 96, 24
191962070083930, 288478743550615, 282996732672556 @ 95, 56, -21
187323268113690, 351311167843617, 228996656817702 @ 35, 28, 60
216627849602066, 213381056073781, 480034284577394 @ -5, 197, -238
115929561573426, 177439663895547, 141531451691598 @ 189, 230, 189
240020123947694, 352176497430916, 301296022265038 @ -65, 77, -12
451872485778006, 544798898668676, 500977068090066 @ -297, -283, -320
177494593553161, 403171980315726, 253026536566795 @ 70, -63, 29
365149759937650, 307131520698046, 215917456809863 @ -149, -113, 99
484642274006331, 521175656406957, 352548103656459 @ -320, -156, -83
215331829758102, 314427201402123, 250642542524348 @ 57, 18, 29
309089197489026, 241819778054219, 247773848062558 @ 66, -55, 11
338732371264834, 186693858491795, 253259559178972 @ 19, 86, -25
264243246986064, 176651326272273, 353258068264338 @ 54, 209, -194
167935209286277, 431580974116912, 264856277441710 @ 32, -35, 20
100907595739287, 450136548714781, 465366241950789 @ 72, -20, -173
302293551270387, 398745362958486, 185789397538539 @ -78, -105, 127
348988683642098, 211338225691207, 239108559129050 @ -5, -55, 35
195600735911282, 414312060393595, 216540216448638 @ 127, -190, 85
183866526640936, 394406209014014, 65110488034149 @ 25, -7, 247
151320693951525, 175090066865529, 285628888463691 @ 90, 240, -11
383205038489412, 202770377185921, 261659979352924 @ -108, -451, -261
